valid,编号,公司1（300m内，由近到远）,公司2,公司3,公司4,公司5,公司6,公司7,公司8,公司9,公司10,公司11
,1,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,2,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,3,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,4,苏闽(张家港)新型金属材料科技有限公司,,,,,,,,,,
,5,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,6,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,7,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,8,张家港市潜力运动休闲用品有限公司,,,,,,,,,,
,9,张家港市港源电力建设有限公司(西二环路),,,,,,,,,,
,10,张家港市港源电力建设有限公司(西二环路),,,,,,,,,,
,11,张家港市龙杰特种化纤有限公司,,,,,,,,,,
,12,张家港市龙杰特种化纤有限公司,,,,,,,,,,
,13,张家港市龙杰特种化纤有限公司,,,,,,,,,,
,14,阿乐斯绝热材料(苏州)有限公司,张家港市龙杰特种化纤有限公司,张家港江联精机有限公司,,,,,,,,
,15,骏鑫实业,泰林汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,,
,16,泰林汽车配件(张家港)有限公司,骏鑫实业,张家港江联精机有限公司,,,,,,,,
,17,骏鑫实业,泰林汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,,
,18,阿乐斯绝热材料(苏州)有限公司,张家港江联精机有限公司,,,,,,,,,
,19,阿乐斯绝热材料(苏州)有限公司,美利肯纺织(张家港)有限公司,,,,,,,,,
,20,阿乐斯绝热材料(苏州)有限公司,美利肯纺织(张家港)有限公司,,,,,,,,,
,21,阿乐斯绝热材料(苏州)有限公司,张家港市苏韵时装有限公司,张家港江联精机有限公司,,,,,,,,
,22,阿乐斯绝热材料(苏州)有限公司,张家港江联精机有限公司,张家港市苏韵时装有限公司,骏鑫实业,,,,,,,
,23,张家港江联精机有限公司,阿乐斯绝热材料(苏州)有限公司,骏鑫实业,,,,,,,,
,24,张家港江联精机有限公司,阿乐斯绝热材料(苏州)有限公司,骏鑫实业,泰林汽车配件(张家港)有限公司,,,,,,,
,25,张家港江联精机有限公司,骏鑫实业,阿乐斯绝热材料(苏州)有限公司,张家港市苏韵时装有限公司,泰林汽车配件(张家港)有限公司,,,,,,
,26,张家港市苏韵时装有限公司,张家港江联精机有限公司,阿乐斯绝热材料(苏州)有限公司,,,,,,,,
,27,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,阿乐斯绝热材料(苏州)有限公司,张家港江联精机有限公司,,,,,,,
,28,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,阿乐斯绝热材料(苏州)有限公司,,,,,,,,
,29,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,张家港中天精密模塑有限公司,,,,,,,,
,30,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,,
,31,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,,
,32,张家港市苏韵时装有限公司,张家港江联精机有限公司,瑞进汽车配件(张家港)有限公司,,,,,,,,
,33,张家港市苏韵时装有限公司,张家港江联精机有限公司,骏鑫实业,瑞进汽车配件(张家港)有限公司,,,,,,,
,34,张家港江联精机有限公司,张家港市苏韵时装有限公司,骏鑫实业,泰林汽车配件(张家港)有限公司,,,,,,,
,35,张家港江联精机有限公司,骏鑫实业,泰林汽车配件(张家港)有限公司,张家港市苏韵时装有限公司,,,,,,,
,36,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,大黄汽车配件(张家港)有限公司,张家港江联精机有限公司,,,,,,,
,37,张家港市苏韵时装有限公司,瑞进汽车配件(张家港)有限公司,大黄汽车配件(张家港)有限公司,,,,,,,,
,38,张家港市苏韵时装有限公司,骏鑫实业,张家港江联精机有限公司,泰林汽车配件(张家港)有限公司,瑞进汽车配件(张家港)有限公司,,,,,,
,39,骏鑫实业,泰林汽车配件(张家港)有限公司,张家港江联精机有限公司,苏州金麦穗食品有限公司,,,,,,,
,40,大黄汽车配件(张家港)有限公司,东熙汽车配件(张家港)有限公司,江苏南阳汽车配件有限公司(长兴路),卓越工艺品,苏州金麦穗食品有限公司,瑞进汽车配件(张家港)有限公司,,,,,
,41,卓越工艺品,大黄汽车配件(张家港)有限公司,苏州金麦穗食品有限公司,东熙汽车配件(张家港)有限公司,江苏南阳汽车配件有限公司(长兴路),瑞进汽车配件(张家港)有限公司,,,,,
,42,苏州金麦穗食品有限公司,卓越工艺品,大黄汽车配件(张家港)有限公司,东熙汽车配件(张家港)有限公司,苏州金鸿顺汽车部件股份有限公司,,,,,,
,43,苏州金麦穗食品有限公司,卓越工艺品,苏州金鸿顺汽车部件股份有限公司,大黄汽车配件(张家港)有限公司,,,,,,,
,44,苏州金麦穗食品有限公司,苏州金鸿顺汽车部件股份有限公司,卓越工艺品,,,,,,,,
,45,苏州金鸿顺汽车部件股份有限公司,苏州金麦穗食品有限公司,卓越工艺品,,,,,,,,
,46,苏州金鸿顺汽车部件股份有限公司,苏州金麦穗食品有限公司,,,,,,,,,
,47,苏州金鸿顺汽车部件股份有限公司,,,,,,,,,,
,48,苏州金鸿顺汽车部件股份有限公司,苏州金麦穗食品有限公司,苏州金鸿顺汽车部件有限公司(北二环路),,,,,,,,
,49,苏州金鸿顺汽车部件股份有限公司,苏州金麦穗食品有限公司,卓越工艺品,东熙汽车配件(张家港)有限公司,,,,,,,
,50,东熙汽车配件(张家港)有限公司,江苏南阳汽车配件有限公司(长兴路),卓越工艺品,大黄汽车配件(张家港)有限公司,,,,,,,
,51,东熙汽车配件(张家港)有限公司,江苏南阳汽车配件有限公司(长兴路),卓越工艺品,,,,,,,,
,52,东熙汽车配件(张家港)有限公司,卓越工艺品,亿嘉工具(张家港)有限公司,,,,,,,,
,53,亿嘉工具(张家港)有限公司,,,,,,,,,,
,54,亿嘉工具(张家港)有限公司,苏州金鸿顺汽车部件有限公司(北二环路),,,,,,,,,
,55,亿嘉工具(张家港)有限公司,苏州金鸿顺汽车部件有限公司(北二环路),,,,,,,,,
,56,亿嘉工具(张家港)有限公司,苏州金鸿顺汽车部件有限公司(北二环路),,,,,,,,,
,57,金鹰纺织,苏州金鸿顺汽车部件有限公司(北二环路),,,,,,,,,
,58,金鹰纺织,苏州金鸿顺汽车部件有限公司(北二环路),张家港市亨利模塑制品有限公司,,,,,,,,
,59,金鹰纺织,苏州金鸿顺汽车部件有限公司(北二环路),张家港市亨利模塑制品有限公司,,,,,,,,
,60,金鹰纺织,苏州金鸿顺汽车部件有限公司(北二环路),,,,,,,,,
,61,苏州金鸿顺汽车部件有限公司(北二环路),金鹰纺织,亿嘉工具(张家港)有限公司,张家港市亨利模塑制品有限公司,,,,,,,
,62,亿嘉工具(张家港)有限公司,苏州金鸿顺汽车部件有限公司(北二环路),张家港市亨利模塑制品有限公司,金鹰纺织,华冶钢结构,,,,,,
,63,亿嘉工具(张家港)有限公司,苏州金鸿顺汽车部件有限公司(北二环路),张家港市亨利模塑制品有限公司,华冶钢结构,,,,,,,
,64,亿嘉工具(张家港)有限公司,苏州金鸿顺汽车部件有限公司(北二环路),华冶钢结构,张家港市亨利模塑制品有限公司,,,,,,,
,65,江苏长隆石化装备有限公司,,,,,,,,,,
,66,江苏长隆石化装备有限公司,苏州国华汽配制造,,,,,,,,,
,67,江苏南阳汽车配件有限公司(长兴路),东熙汽车配件(张家港)有限公司,张家港亚太生活用品有限公司,,,,,,,,
,68,江苏南阳汽车配件有限公司(长兴路),东熙汽车配件(张家港)有限公司,大黄汽车配件(张家港)有限公司,,,,,,,,
,69,江苏南阳汽车配件有限公司(长兴路),东熙汽车配件(张家港)有限公司,大黄汽车配件(张家港)有限公司,张家港亚太生活用品有限公司,,,,,,,
,70,江苏南阳汽车配件有限公司(长兴路),东熙汽车配件(张家港)有限公司,大黄汽车配件(张家港)有限公司,奥斯汀新材料(张家港)有限公司,,,,,,,
,71,张家港亚太生活用品有限公司,江苏南阳汽车配件有限公司(长兴路),江苏兴安建设集团,,,,,,,,
,72,张家港亚太生活用品有限公司,江苏兴安建设集团,江苏兴港建设集团有限公司第三分公司,,,,,,,,
,73,张家港亚太生活用品有限公司,江苏兴安建设集团,,,,,,,,,
,74,张家港亚太生活用品有限公司,江苏南阳汽车配件有限公司(长兴路),江苏兴安建设集团,,,,,,,,
,75,江苏南阳汽车配件有限公司(长兴路),张家港亚太生活用品有限公司,江苏兴安建设集团,奥斯汀新材料(张家港)有限公司,,,,,,,
,76,江苏南阳汽车配件有限公司(长兴路),奥斯汀新材料(张家港)有限公司,张家港亚太生活用品有限公司,江苏兴安建设集团,,,,,,,
,77,江苏南阳汽车配件有限公司(长兴路),大黄汽车配件(张家港)有限公司,东熙汽车配件(张家港)有限公司,瑞进汽车配件(张家港)有限公司,奥斯汀新材料(张家港)有限公司,,,,,,
,78,江苏南阳汽车配件有限公司(长兴路),奥斯汀新材料(张家港)有限公司,云绅工业,大黄汽车配件(张家港)有限公司,,,,,,,
,79,奥斯汀新材料(张家港)有限公司,云绅工业,江苏南阳汽车配件有限公司(长兴路),,,,,,,,
,80,江苏南阳汽车配件有限公司(长兴路),奥斯汀新材料(张家港)有限公司,云绅工业,大黄汽车配件(张家港)有限公司,瑞进汽车配件(张家港)有限公司,张家港中天精密模塑有限公司,,,,,
,81,奥斯汀新材料(张家港)有限公司,云绅工业,江苏南阳汽车配件有限公司(长兴路),张家港中天精密模塑有限公司,瑞进汽车配件(张家港)有限公司,大黄汽车配件(张家港)有限公司,,,,,
,82,云绅工业,奥斯汀新材料(张家港)有限公司,张家港亚韵服装有限公司,张家港中天精密模塑有限公司,,,,,,,
,83,云绅工业,奥斯汀新材料(张家港)有限公司,张家港中天精密模塑有限公司,瑞进汽车配件(张家港)有限公司,江苏南阳汽车配件有限公司(长兴路),张家港亚韵服装有限公司,大黄汽车配件(张家港)有限公司,,,,
,84,张家港中天精密模塑有限公司,云绅工业,瑞进汽车配件(张家港)有限公司,奥斯汀新材料(张家港)有限公司,张家港亚韵服装有限公司,,,,,,
,85,云绅工业,张家港亚韵服装有限公司,奥斯汀新材料(张家港)有限公司,张家港中天精密模塑有限公司,,,,,,,
,86,瑞进汽车配件(张家港)有限公司,张家港中天精密模塑有限公司,张家港市苏韵时装有限公司,大黄汽车配件(张家港)有限公司,江苏南阳汽车配件有限公司(长兴路),云绅工业,,,,,
,87,瑞进汽车配件(张家港)有限公司,张家港中天精密模塑有限公司,张家港市苏韵时装有限公司,大黄汽车配件(张家港)有限公司,,,,,,,
,88,张家港亚韵服装有限公司,张家港中天精密模塑有限公司,云绅工业,奥斯汀新材料(张家港)有限公司,瑞进汽车配件(张家港)有限公司,,,,,,
,89,张家港亚韵服装有限公司,云绅工业,张家港中天精密模塑有限公司,奥斯汀新材料(张家港)有限公司,伟泰针织,,,,,,
,90,张家港中天精密模塑有限公司,瑞进汽车配件(张家港)有限公司,张家港市苏韵时装有限公司,,,,,,,,
,91,张家港中天精密模塑有限公司,张家港亚韵服装有限公司,张家港乐达汽车电器有限公司(振兴路),,,,,,,,
,92,远程化纤有限公司,张家港乐达汽车电器有限公司(振兴路),美利肯纺织(张家港)有限公司,,,,,,,,
,93,张家港乐达汽车电器有限公司(振兴路),远程化纤有限公司,金盾安防,张家港海天网业有限公司,,,,,,,
,94,张家港亚韵服装有限公司,张家港中天精密模塑有限公司,张家港乐达汽车电器有限公司(振兴路),,,,,,,,
,95,张家港乐达汽车电器有限公司(振兴路),金盾安防,远程化纤有限公司,张家港海天网业有限公司,,,,,,,
,96,张家港乐达汽车电器有限公司(振兴路),金盾安防,张家港亚韵服装有限公司,远程化纤有限公司,张家港中天精密模塑有限公司,,,,,,
,97,阿乐斯绝热材料(苏州)有限公司,美利肯纺织(张家港)有限公司,,,,,,,,,
,98,美利肯纺织(张家港)有限公司,阿乐斯绝热材料(苏州)有限公司,,,,,,,,,
,99,美利肯纺织(张家港)有限公司,阿乐斯绝热材料(苏州)有限公司,,,,,,,,,
,100,美利肯纺织(张家港)有限公司,,,,,,,,,,
,101, ,,,,,,,,,,
,102, ,,,,,,,,,,
,103,美利肯纺织(张家港)有限公司,远程化纤有限公司,,,,,,,,,
,104,远程化纤有限公司,美利肯纺织(张家港)有限公司,张家港乐达汽车电器有限公司(振兴路),张家港海天网业有限公司,,,,,,,
,105,远程化纤有限公司,张家港海天网业有限公司,康维明工程薄膜(张家港)有限公司,张家港乐达汽车电器有限公司(振兴路),美利肯纺织(张家港)有限公司,,,,,,
,106,张家港海天网业有限公司,康维明工程薄膜(张家港)有限公司,张家港乐达汽车电器有限公司(振兴路),远程化纤有限公司,金盾安防,,,,,,
,107,康维明工程薄膜(张家港)有限公司,张家港海天网业有限公司,远程化纤有限公司,张家港乐达汽车电器有限公司(振兴路),,,,,,,
,108,康维明工程薄膜(张家港)有限公司,张家港海天网业有限公司,远程化纤有限公司,,,,,,,,
,109,张家港华丰重型设备制造有限公司,康维明工程薄膜(张家港)有限公司,,,,,,,,,
,110,张家港华丰重型设备制造有限公司,,,,,,,,,,
,111,张家港华丰重型设备制造有限公司,康维明工程薄膜(张家港)有限公司,,,,,,,,,
,112,张家港华丰重型设备制造有限公司,康维明工程薄膜(张家港)有限公司,,,,,,,,,
,113,张家港华丰重型设备制造有限公司,康维明工程薄膜(张家港)有限公司,,,,,,,,,
,114,康维明工程薄膜(张家港)有限公司,张家港金利织带有限公司,,,,,,,,,
,115,张家港金利织带有限公司,康维明工程薄膜(张家港)有限公司,,,,,,,,,
,116,康维明工程薄膜(张家港)有限公司,张家港海天网业有限公司,金盾安防,张家港乐达汽车电器有限公司(振兴路),,,,,,,
,117,张家港海天网业有限公司,金盾安防,张家港乐达汽车电器有限公司(振兴路),康维明工程薄膜(张家港)有限公司,远程化纤有限公司,,,,,,
,118,金盾安防,康维明工程薄膜(张家港)有限公司,张家港海天网业有限公司,,,,,,,,
,119, ,,,,,,,,,,
,120,张家港亚韵服装有限公司,伟泰针织,金盾安防,张家港中天精密模塑有限公司,张家港乐达汽车电器有限公司(振兴路),,,,,,
,121,张家港亚韵服装有限公司,伟泰针织,金盾安防,云绅工业,张家港中天精密模塑有限公司,,,,,,
,122,伟泰针织,张家港亚韵服装有限公司,金盾安防,,,,,,,,
,123,伟泰针织,张家港亚韵服装有限公司,港益织带,,,,,,,,
,124,伟泰针织,港益织带,张家港亚韵服装有限公司,,,,,,,,
,125,伟泰针织,港益织带,海狮不锈钢,,,,,,,,
,126,港益织带,伟泰针织,海狮不锈钢,,,,,,,,
,127,张家港亚韵服装有限公司,伟泰针织,云绅工业,张家港中天精密模塑有限公司,奥斯汀新材料(张家港)有限公司,,,,,,
,128,伟泰针织,张家港亚韵服装有限公司,港益织带,云绅工业,,,,,,,
,129,伟泰针织,港益织带,张家港亚韵服装有限公司,,,,,,,,
,130,伟泰针织,港益织带,,,,,,,,,
,131,港益织带,伟泰针织,海狮不锈钢,,,,,,,,
,132,港益织带,伟泰针织,海狮不锈钢,,,,,,,,
,133,奥斯汀新材料(张家港)有限公司,云绅工业,张家港亚韵服装有限公司,,,,,,,,
,134,伟泰针织,奥斯汀新材料(张家港)有限公司,,,,,,,,,
,135,江苏兴安建设集团,奥斯汀新材料(张家港)有限公司,张家港市浩然纺织有限公司,,,,,,,,
,136,港益织带,,,,,,,,,,
,137,港益织带,伟泰针织,,,,,,,,,
,138,港益织带,,,,,,,,,,
,139,港益织带,,,,,,,,,,
,140, ,,,,,,,,,,
,141,江苏兴安建设集团,张家港亚太生活用品有限公司,奥斯汀新材料(张家港)有限公司,张家港市浩然纺织有限公司,,,,,,,
,142,江苏兴安建设集团,张家港亚太生活用品有限公司,张家港市浩然纺织有限公司,奥斯汀新材料(张家港)有限公司,,,,,,,
